ID,File,Context,Current Text,New Text (edit this column only)
1,lib/pages/challenge_detail_page.dart,Participant count label (singular),1 participant,
2,lib/pages/challenge_detail_page.dart,Participant count label (plural),$count participants,
3,lib/pages/challenge_detail_page.dart,Tally save-failure snackbar,Couldn't save — check your connection and try again.,Save failed - check your connection and try again.
4,lib/pages/challenge_detail_page.dart,Join-challenge failure dialog title,Couldn't join challenge,
5,lib/pages/challenge_detail_page.dart,Join-challenge failure dialog message,Something went wrong. Please try again.,
6,lib/pages/challenge_detail_page.dart,Invite code dialog title,Invite code,Share code
7,lib/pages/challenge_detail_page.dart,Invite code dialog subtitle,"Share this code so others can join ""${challenge.name}"":",
8,lib/pages/challenge_detail_page.dart,Invite code share-sheet text,"Join my challenge ""${challenge.name}"" on Count Me In! Use invite code ${challenge.code} to join, or tap this link: https://molten-mage.github.io/join/challenge/${challenge.code}",
9,lib/pages/challenge_detail_page.dart,Invite code copied confirmation,Copied to clipboard!,
10,lib/pages/challenge_detail_page.dart,Invite code copy hint,Tap the code to copy,
11,lib/pages/challenge_detail_page.dart,Invite code dialog close button,Close,
12,lib/pages/challenge_detail_page.dart,Invite code dialog share button,Share,
13,lib/pages/challenge_detail_page.dart,Reset-all-progress confirm dialog title,Reset progress,
14,lib/pages/challenge_detail_page.dart,Reset-all-progress confirm dialog message,"Are you sure you want to reset all of your objective tallies in ""${challenge.name}"" back to zero? This can't be undone.","Are you sure you want to reset all of your objective tallies in ""${challenge.name}"" back to zero? "
15,lib/pages/challenge_detail_page.dart,Reset-all-progress confirm button,Reset,
16,lib/pages/challenge_detail_page.dart,Reset-one-objective confirm dialog title,Reset objective,
17,lib/pages/challenge_detail_page.dart,Reset-one-objective confirm dialog message,"Are you sure you want to reset your tally for ""${objective.name}"" back to zero? This can't be undone.","Are you sure you want to reset your tally for ""${objective.name}"" back to zero?"
18,lib/pages/challenge_detail_page.dart,Reset-one-objective confirm button,Reset,
19,lib/pages/challenge_detail_page.dart,Leave-challenge confirm message (non-creator),"Are you sure you want to leave ""${challenge.name}""?",
20,lib/pages/challenge_detail_page.dart,"Leave-challenge confirm message (creator, last member)","You're the only member left. Leaving will delete ""${challenge.name}"".",
21,lib/pages/challenge_detail_page.dart,"Leave-challenge confirm message (creator, not last member)",You created this challenge. Leaving will hand ownership off to another member.,
22,lib/pages/challenge_detail_page.dart,Leave-challenge confirm dialog title,Leave challenge,
23,lib/pages/challenge_detail_page.dart,Leave-challenge confirm button,Leave,
24,lib/pages/challenge_detail_page.dart,App bar overflow-menu tooltip,More options,
25,lib/pages/challenge_detail_page.dart,Overflow menu item — challenge info,Challenge info,
26,lib/pages/challenge_detail_page.dart,Overflow menu item — edit challenge,Edit challenge,
27,lib/pages/challenge_detail_page.dart,Overflow menu item — invite code,Invite code,Share code
28,lib/pages/challenge_detail_page.dart,Overflow menu item — leave challenge,Leave challenge,
29,lib/pages/challenge_detail_page.dart,Delete-challenge confirm dialog title,Delete challenge,
30,lib/pages/challenge_detail_page.dart,Delete-challenge confirm dialog message,"Are you sure you want to delete ""${challenge.name}""? This removes it for everyone.",
31,lib/pages/challenge_detail_page.dart,Overflow menu item — delete challenge,Delete challenge,
